"compressor","file","function","time"
"nosplit","boltzmann_small","transmitDecompressed",0.0
"nosplit","boltzmann_superLarge","compress",11.121294260025024
"nosplit","boltzmann_superLarge","decompress",10.342441320419312
"nosplit","boltzmann_superLarge","transmitCompressed",0.030913114547729492
"nosplit","boltzmann_superLarge","transmitDecompressed",0.0
"nosplit","largeInt_large","compress",2.7910916805267334
"nosplit","largeInt_large","decompress",2.591609001159668
"nosplit","largeInt_large","transmitCompressed",0.015747547149658203
"nosplit","largeInt_large","transmitDecompressed",0.0
"nosplit","largeInt_medium","compress",0.26949238777160645
"nosplit","largeInt_medium","decompress",0.2680180072784424
"nosplit","largeInt_medium","transmitCompressed",0.0
"nosplit","largeInt_medium","transmitDecompressed",0.0
"nosplit","largeInt_small","compress",0.0
"nosplit","largeInt_small","decompress",0.01571059226989746
"nosplit","largeInt_small","transmitCompressed",0.0
"nosplit","largeInt_small","transmitDecompressed",0.0
"nosplit","largeInt_superLarge","compress",11.080637216567993
"nosplit","largeInt_superLarge","decompress",10.521236419677734
"nosplit","largeInt_superLarge","transmitCompressed",0.031801462173461914
"nosplit","largeInt_superLarge","transmitDecompressed",0.0
"nosplit","smallInt_large","compress",1.8785383701324463
"nosplit","smallInt_large","decompress",2.3129003047943115
"nosplit","smallInt_large","transmitCompressed",0.0
"nosplit","smallInt_large","transmitDecompressed",0.0
"nosplit","smallInt_medium","compress",0.21065306663513184
"nosplit","smallInt_medium","decompress",0.25923919677734375
"nosplit","smallInt_medium","transmitCompressed",0.0
"nosplit","smallInt_medium","transmitDecompressed",0.0
"nosplit","smallInt_small","compress",0.0020432472229003906
"nosplit","smallInt_small","decompress",0.0
"nosplit","smallInt_small","transmitCompressed",0.0
"nosplit","smallInt_small","transmitDecompressed",0.0
"nosplit","smallInt_superLarge","compress",8.208606481552124
"nosplit","smallInt_superLarge","decompress",9.425490856170654
"nosplit","smallInt_superLarge","transmitCompressed",0.008099079132080078
"nosplit","smallInt_superLarge","transmitDecompressed",0.0019683837890625
"overflow","boltzmann_large","compress",2.4246022701263428
"overflow","boltzmann_large","decompress",2.497438669204712
"overflow","boltzmann_large","transmitCompressed",0.007243633270263672
"overflow","boltzmann_large","transmitDecompressed",0.0010030269622802734
"overflow","boltzmann_medium","compress",0.2475597858428955
"overflow","boltzmann_medium","decompress",0.2552766799926758
"overflow","boltzmann_medium","transmitCompressed",0.0
"overflow","boltzmann_medium","transmitDecompressed",0.0
"overflow","boltzmann_small","compress",0.002553701400756836
"overflow","boltzmann_small","decompress",0.0
"overflow","boltzmann_small","transmitCompressed",0.0
"overflow","boltzmann_small","transmitDecompressed",0.0
"overflow","boltzmann_superLarge","compress",9.771495342254639
"overflow","boltzmann_superLarge","decompress",9.916287899017334
"overflow","boltzmann_superLarge","transmitCompressed",0.024433374404907227
"overflow","boltzmann_superLarge","transmitDecompressed",0.0
"overflow","largeInt_large","compress",2.5572242736816406
"overflow","largeInt_large","decompress",2.5387051105499268
"overflow","largeInt_large","transmitCompressed",0.007419586181640625
"overflow","largeInt_large","transmitDecompressed",0.0
"overflow","largeInt_medium","compress",0.26291632652282715
"overflow","largeInt_medium","decompress",0.25296592712402344
"overflow","largeInt_medium","transmitCompressed",0.003414154052734375
"overflow","largeInt_medium","transmitDecompressed",0.0
"overflow","largeInt_small","compress",0.0015130043029785156
"overflow","largeInt_small","decompress",0.0050580501556396484
"overflow","largeInt_small","transmitCompressed",0.0
"overflow","largeInt_small","transmitDecompressed",0.0
"overflow","largeInt_superLarge","compress",10.178040027618408
"overflow","largeInt_superLarge","decompress",10.1521315574646
"overflow","largeInt_superLarge","transmitCompressed",0.027684450149536133
"overflow","largeInt_superLarge","transmitDecompressed",0.0029981136322021484
"overflow","smallInt_large","compress",2.040928363800049
"overflow","smallInt_large","decompress",2.194810152053833
"overflow","smallInt_large","transmitCompressed",0.0029993057250976562
"overflow","smallInt_large","transmitDecompressed",0.0010008811950683594
"overflow","smallInt_medium","compress",0.20580387115478516
"overflow","smallInt_medium","decompress",0.22293901443481445
"overflow","smallInt_medium","transmitCompressed",0.0
"overflow","smallInt_medium","transmitDecompressed",0.0
"overflow","smallInt_small","compress",0.0028848648071289062
"overflow","smallInt_small","decompress",0.0019998550415039062
"overflow","smallInt_small","transmitCompressed",0.001003265380859375
"overflow","smallInt_small","transmitDecompressed",0.0
"overflow","smallInt_superLarge","compress",8.094869375228882
"overflow","smallInt_superLarge","decompress",8.775390148162842
"overflow","smallInt_superLarge","transmitCompressed",0.01351165771484375
"overflow","smallInt_superLarge","transmitDecompressed",0.0037038326263427734
